organization,state,date,type,industry,records
Imbio LLC,MN,1/12/2019,Electronic,Business,Unknown
Invenshure LLC,MN,1/12/2019,Electronic,Business,Unknown
Carlson Building Maintenance Inc.,MN,1/31/2019,Electronic,Business,Unknown
Tenx Systems dba ResiDex Software,MN,1/18/2019,Electronic,Business,95000
Reproductive Medicine and Infertility,MN,1/1/2019,Electronic,Medical/Healthcare,40000
Riverplace Counseling Center,MN,1/11/2019,Electronic,Medical/Healthcare,11639
American Baptist Homes of the,MN,1/6/2019,Electronic,Business,10993
Minnesota Department of Human,MN,1/9/2019,Electronic,Government/Military,10263
L&M Fleet Supply,MN,1/23/2019,Electronic,Business,4952
Minnesota Eye Consultants,MN,1/16/2019,Paper Data,Medical/Healthcare,4556
Elim Care (business associate Tenx,MN,1/7/2019,Electronic,Medical/Healthcare,2500
United Hospital District,MN,1/4/2019,Electronic,Medical/Healthcare,2143
Mayo Clinic (reported on 3/22/2019),MN,1/22/2019,Electronic,Medical/Healthcare,1902
Duluth Human Development Center,MN,1/22/2019,Electronic,Medical/Healthcare,1200
Northwestern Health Sciences,MN,1/21/2019,Electronic,Medical/Healthcare,1198
Dakota County,MN,1/2/2019,Electronic,Government/Military,1026
"Catholic Health Initiatives (""CHI"")",MN,1/29/2019,Electronic,Medical/Healthcare,885
CHI LakeWood Health,MN,1/31/2019,Electronic,Medical/Healthcare,885
Heritage Companies,MO,1/10/2019,Electronic,Business,Unknown
Amazing Designs (Tacony Corporation),MO,1/30/2019,Electronic,Business,Unknown
H&R Block (reported on 4/8/2019),MO,1/8/2019,Electronic,Business,Unknown
"PAR Electrical Contractors, Inc.",MO,1/27/2019,Electronic,Business,Unknown
Jefferson City Public Schools,MO,1/29/2019,Electronic,Education,Unknown
"EyeCare Partners, LLC [on behalf of",MO,1/19/2019,Electronic,Medical/Healthcare,141165
Drury Hotels,MO,1/24/2019,Electronic,Business,109000
Burrell Behavioral Health (reported on,MO,1/29/2019,Electronic,Medical/Healthcare,67493
Missouri Southern State University,MO,1/13/2019,Electronic,Education,12574
St. Louis Community College (reported,MO,1/25/2019,Electronic,Education,4000
Nidec Motor Corporation,MO,1/3/2019,Electronic,Business,2423
Graf & Sons Inc.,MO,1/6/2019,Electronic,Business,1243
Kansas City VAMC,MO,1/11/2019,Paper Data,Medical/Healthcare,534
Maranatha Village Inc.,MO,1/24/2019,Electronic,Medical/Healthcare,520
ShowMeCables,MO,1/19/2019,Electronic,Business,247
Lauderdale County - employees,MS,1/25/2019,Electronic,Government/Military,Unknown
Memorial Hospital at Gulfport,MS,1/15/2019,Electronic,Medical/Healthcare,30642
"Gulfport Anesthesia Services, PA",MS,1/26/2019,Paper Data,Medical/Healthcare,14000
Carroll Saints' Shoppe (vendor,MT,1/1/2019,Electronic,Business,Unknown
Immanuel Lutheran Communties,MT,1/18/2019,Electronic,Business,Unknown
Advanced Care Hospital of Montana,MT,1/15/2019,Electronic,Medical/Healthcare,Unknown
North 40 Outfitters (reported on,MT,1/14/2019,Electronic,Business,18957
Acadia Montana Treatment Center,MT,1/17/2019,Electronic,Medical/Healthcare,14794
Rocky Boy Health Center,MT,1/22/2019,Paper Data,Medical/Healthcare,6000
Epic Games - Fortnite,NC,1/16/2019,Electronic,Business,Unknown
Agri Supply Company,NC,1/21/2019,Electronic,Business,Unknown
LabCorp. (service provider American,NC,1/4/2019,Electronic,Medical/Healthcare,7700000
Inmediata Health Group,NC,1/24/2019,Electronic,Medical/Healthcare,1565338
"Image-I-Nation Technologies, Inc.",NC,1/30/2019,Electronic,Business,430139
LabCorp. (service provider American,NC,1/4/2019,Electronic,Medical/Healthcare,200000
Pasquotank County / Pasquotank-,NC,1/25/2019,Electronic,Government/Military,40000
Klaussner Furniture Industries Inc -,NC,1/5/2019,Electronic,Business,9352
ABB Inc. Active Employee Group,NC,1/18/2019,Paper Data,Medical/Healthcare,6877
Aeroflow Inc.,NC,1/16/2019,Electronic,Medical/Healthcare,4454
TriBike Transport LLC,NC,1/22/2019,Electronic,Business,2495
Columbia Forest Products - employees,NC,1/29/2019,Electronic,Business,2391
Duke University (reported on 4/9/2019),NC,1/9/2019,Electronic,Education,1491
"Aging, Disability & Transit Services of",NC,1/15/2019,Electronic,Medical/Healthcare,500
Eton Advisors Group LLC,NC,1/24/2019,Electronic,Banking/Credit/Financial,130
Mandan High School,ND,1/8/2019,Electronic,Education,1024
Columbus Community Hospital,NE,1/28/2019,Electronic,Medical/Healthcare,Unknown
Pawnee County Memorial Hospital,NE,1/28/2019,Electronic,Medical/Healthcare,7038
"Windham Professionals, Inc.",NH,1/8/2019,Electronic,Banking/Credit/Financial,Unknown
Manchester School District,NH,1/15/2019,Electronic,Education,Unknown
NH Department of Health and Human,NH,1/17/2019,Electronic,Government/Military,Unknown
Town of Weare,NH,1/3/2019,Electronic,Government/Military,Unknown
Granite State Glass,NH,1/1/2019,Electronic,Business,107
Akwa Vista LLC,NH,1/6/2019,Electronic,Business,81
Provident Bank (reported on 2/8/2019),NJ,1/8/2019,Electronic,Banking/Credit/Financial,Unknown
forbesmagazine.com,NJ,1/15/2019,Electronic,Business,Unknown
Paterson Public Schools,NJ,1/13/2019,Electronic,Education,Unknown
The Borough of Beach Haven,NJ,1/31/2019,Electronic,Government/Military,Unknown
Township of Lakewood,NJ,1/26/2019,Electronic,Government/Military,Unknown
Borough of Westwood,NJ,1/25/2019,Electronic,Government/Military,Unknown
Eisai Inc.,NJ,1/27/2019,Electronic,Medical/Healthcare,Unknown
MedicareSupplement.com,NJ,1/27/2019,Electronic,Medical/Healthcare,Unknown
Quest Diagnostics (service provider,NJ,1/3/2019,Electronic,Medical/Healthcare,11900000
Home Health Radiology Services,NJ,1/19/2019,Electronic,Medical/Healthcare,37000
Ronald Snyder M.D. (ActivYouth,NJ,1/18/2019,Electronic,Medical/Healthcare,24176
"Aetrex Worldwide, Inc.",NJ,1/17/2019,Electronic,Business,14291
"Integrity, Inc. dba Integrity House",NJ,1/18/2019,Electronic,Medical/Healthcare,7206
First Commerce Bank,NJ,1/8/2019,Electronic,Banking/Credit/Financial,2988
Union Benefit Planners,NJ,1/18/2019,Electronic,Business,2764
Abel HR,NJ,1/24/2019,Electronic,Business,2637
"BCA Watson Rice, LLP",NJ,1/15/2019,Electronic,Business,2113
Bed Bath & Beyond (reported on,NJ,1/3/2019,Electronic,Business,346
RunSignUp Inc.,NJ,1/18/2019,Electronic,Business,222
Southwest Gastroenterology,NM,1/28/2019,Electronic,Medical/Healthcare,Unknown
Ernest Health,NM,1/15/2019,Electronic,Medical/Healthcare,7037
Gaming Arts LLC,NV,1/12/2019,Electronic,Business,Unknown
Don Best Sports Corporation and DBS,NV,1/6/2019,Electronic,Business,58000
Mikhail Education Corporation,NV,1/19/2019,Electronic,Business,2237
Huntridge Family Clinic,NV,1/18/2019,Paper Data,Medical/Healthcare,2000
BlackRock Inc.,NY,1/19/2019,Electronic,Banking/Credit/Financial,Unknown
ClearBridge Investments LLC,NY,1/21/2019,Electronic,Banking/Credit/Financial,Unknown
oxo.com (reported 1/15/2019),NY,1/15/2019,Electronic,Business,Unknown
"Association of National Advertisers,",NY,1/25/2019,Electronic,Business,Unknown
Artsy,NY,1/11/2019,Electronic,Business,Unknown
DataCamp,NY,1/11/2019,Electronic,Business,Unknown
EyeEm,NY,1/11/2019,Electronic,Business,Unknown
Petflow,NY,1/14/2019,Electronic,Business,Unknown
Younow,NY,1/14/2019,Electronic,Business,Unknown
"Print EZ, Inc.",NY,1/15/2019,Electronic,Business,Unknown
ClassPass,NY,1/17/2019,Electronic,Business,Unknown
StoryBird,NY,1/17/2019,Electronic,Business,Unknown
StreetEasy,NY,1/19/2019,Electronic,Business,Unknown
Combe Incorporated,NY,1/28/2019,Electronic,Business,Unknown
Dubsmash,NY,1/8/2019,Electronic,Business,Unknown
Tower Legal Solutions,NY,1/22/2019,Electronic,Business,Unknown
Corning,NY,1/11/2019,Electronic,Business,Unknown
Moda Operandi,NY,1/15/2019,Electronic,Business,Unknown
ABM Industries Incorporated (reported,NY,1/26/2019,Electronic,Business,Unknown
Cultura Colectiva - app/Facebook user,NY,1/3/2019,Electronic,Business,Unknown
Ladders,NY,1/1/2019,Electronic,Business,Unknown
American Medical Collection Agency,NY,1/10/2019,Electronic,Business,Unknown
Amsterdam Printing & Litho,NY,1/14/2019,Electronic,Business,Unknown
Stack Overflow,NY,1/16/2019,Electronic,Business,Unknown
People Inc.,NY,1/29/2019,Electronic,Business,Unknown
Jcrush,NY,1/4/2019,Electronic,Business,Unknown
Velan Studios,NY,1/8/2019,Paper Data,Business,Unknown
Hamilton College,NY,1/8/2019,Electronic,Education,Unknown
Sunrise Laboratories (service provider,NY,1/14/2019,Electronic,Medical/Healthcare,Unknown
Episcopal Health Services,NY,1/18/2019,Electronic,Medical/Healthcare,218055
Mediant Communications Inc.,NY,1/28/2019,Electronic,Business,204812
Nassau Educators Federal Credit Union,NY,1/7/2019,Electronic,Banking/Credit/Financial,86773
ABM Industries Incorporated (reported,NY,1/12/2019,Electronic,Business,42366
Health Quest - Health Quest Medical,NY,1/31/2019,Electronic,Medical/Healthcare,28910
St. Francis College (reported on,NY,1/16/2019,Electronic,Education,28100
"Volt Information Sciences, Inc.",NY,1/15/2019,Electronic,Business,9064
Independent Health,NY,1/10/2019,Electronic,Medical/Healthcare,7605
Broome County,NY,1/31/2019,Electronic,Government/Military,7048
"Topps Company, Inc. (reported on",NY,1/22/2019,Electronic,Business,5700
Shubert Organization Inc.,NY,1/11/2019,Electronic,Business,2358
Healthfirst,NY,1/24/2019,Paper Data,Medical/Healthcare,1811
Healthfirst,NY,1/24/2019,Paper Data,Medical/Healthcare,1811
Elena Maria Buruiana Physician P.C.,NY,1/18/2019,Electronic,Medical/Healthcare,1308
"Sacks Press & Lacher, P.C.",NY,1/21/2019,Electronic,Business,1295
TEMPTU Inc,NY,1/4/2019,Electronic,Business,1268
Conde Nast - WIRED,NY,1/9/2019,Electronic,Business,1100
"ALM Media, LLC",NY,1/23/2019,Electronic,Business,933
DePaul,NY,1/30/2019,Electronic,Business,902
Colgate University (third-party service,NY,1/9/2019,Electronic,Education,621
Lisa Rose Durso M.D. PLLC,NY,1/22/2019,Electronic,Medical/Healthcare,537
Color Street,NY,1/16/2019,Paper Data,Business,389
Ministers Missionaries Benefit Board,NY,1/30/2019,Electronic,Banking/Credit/Financial,108
Cincinnatus Savings and Loan,OH,1/16/2019,Electronic,Banking/Credit/Financial,Unknown
Ardent Technologies,OH,1/2/2019,Electronic,Business,Unknown
Midmark Corporation - Veterinary,OH,1/25/2019,Electronic,Business,Unknown
American Electric Power,OH,1/26/2019,Electronic,Business,Unknown
"Oneida Group, Inc.",OH,1/29/2019,Electronic,Business,Unknown
VNS Federal Services,OH,1/21/2019,Electronic,Business,Unknown
Oberlin College,OH,1/8/2019,Electronic,Education,Unknown
Superior Dental Care,OH,1/25/2019,Electronic,Medical/Healthcare,38260
Health Recovery Services Inc.,OH,1/5/2019,Electronic,Medical/Healthcare,20485
HP Restaurant Group,OH,1/24/2019,Electronic,Business,11184
Graeter's Ice Cream,OH,1/15/2019,Electronic,Business,11030
Summa Health,OH,1/28/2019,Electronic,Medical/Healthcare,10893
Direct Scripts,OH,1/22/2019,Electronic,Medical/Healthcare,9319
Ohio Department of Commerce -,OH,1/15/2019,Paper Data,Government/Military,9000
Cincinnati Bell Inc.,OH,1/18/2019,Electronic,Business,3395
TriHealth Physician Practices,OH,1/24/2019,Electronic,Medical/Healthcare,2433
Harbor,OH,1/12/2019,Electronic,Medical/Healthcare,2290
Marathon Petroleum Company LP,OH,1/8/2019,Electronic,Business,1287
Rehabilitation Hospital of Northwest,OH,1/8/2019,Electronic,Medical/Healthcare,1143
Capital City Paincare,OH,1/31/2019,Electronic,Medical/Healthcare,1012
University Hospitals Rainbow Babies &,OH,1/8/2019,Electronic,Medical/Healthcare,838
Ohio Benefits System,OH,1/5/2019,Paper Data,Government/Military,643
Equitas Health,OH,1/14/2019,Electronic,Medical/Healthcare,569
Life Equity LLC,OH,1/27/2019,Electronic,Business,361
Spangler Candy Company,OH,1/9/2019,Electronic,Business,281
Ohio Benefits Self-Service Portal,OH,1/5/2019,Electronic,Government/Military,250
ProMedica,OH,1/15/2019,Paper Data,Medical/Healthcare,121
Ohio Benefits Portal,OH,1/5/2019,Electronic,Government/Military,100
Oklahoma Department of Securities,OK,1/16/2019,Electronic,Government/Military,293492
"Hood & Associates, CPAs, PC",OK,1/11/2019,Electronic,Business,7013
Coates Field Service,OK,1/25/2019,Electronic,Business,4475
Oklahoma Heart Hospital LLC,OK,1/6/2019,Electronic,Medical/Healthcare,1221
Bookmate,OR,1/11/2019,Electronic,Business,Unknown
CorVel Enterprise Comp Inc,OR,1/13/2019,Electronic,Business,Unknown
Warn Industries Inc.,OR,1/22/2019,Electronic,Business,Unknown
Salem School District,OR,1/28/2019,Electronic,Education,Unknown
Oregon Health Authority - Oregon,OR,1/10/2019,Electronic,Medical/Healthcare,Unknown
Oregon Department of Human,OR,1/21/2019,Electronic,Government/Military,645000
"Hematology Oncology Associates, PC",OR,1/21/2019,Electronic,Medical/Healthcare,16073
Partners In Care,OR,1/26/2019,Electronic,Medical/Healthcare,3048
Oregon Endodontic Group,OR,1/2/2019,Electronic,Medical/Healthcare,2952
Oregon Institute of Technology,OR,1/18/2019,Electronic,Education,770
Huggins Insurance,OR,1/24/2019,Electronic,Business,667
Providence Health Plan (RSC,OR,1/19/2019,Electronic,Medical/Healthcare,651
Oregon State University,OR,1/14/2019,Electronic,Education,636
Oregon Construction Contractors,OR,1/17/2019,Electronic,Government/Military,466
1031 CORP.,PA,1/22/2019,Electronic,Banking/Credit/Financial,Unknown
Hankin Group,PA,1/2/2019,Electronic,Business,Unknown
ZOLL Services LLC,PA,1/18/2019,Electronic,Medical/Healthcare,277319
Steps to Recovery,PA,1/19/2019,Electronic,Medical/Healthcare,145000
"Five Below, Inc. (reported on 2/14/2019)",PA,1/14/2019,Electronic,Business,56102
Lancaster Archery Supply Inc.,PA,1/26/2019,Electronic,Business,53345
Cremation Society of Pennsylvania Inc.,PA,1/15/2019,Electronic,Business,24168
Main Line Endoscopy Centers,PA,1/29/2019,Electronic,Medical/Healthcare,14305
Cherrydale Fundraising,PA,1/14/2019,Electronic,Business,13061
Northeast Philadelphia Vascular,PA,1/27/2019,Electronic,Medical/Healthcare,8193
"Smooth-On, Inc. and Reynolds",PA,1/21/2019,Electronic,Business,4300
Community College of Allegheny,PA,1/5/2019,Electronic,Education,4180
Partners for Quality Inc.,PA,1/19/2019,Electronic,Business,3673
Byham's Insurance Services Inc.,PA,1/27/2019,Electronic,Medical/Healthcare,1600
Vista Autism Services,PA,1/15/2019,Electronic,Business,1249
DiPardo Eremic & Co. P.C.,PA,1/25/2019,Electronic,Business,1098
Lebanon VA Medical Center,PA,1/16/2019,Electronic,Government/Military,1002
Penn Medicine (reported on 5/21/2019),PA,1/21/2019,Electronic,Medical/Healthcare,917
FirstLease Inc,PA,1/15/2019,Electronic,Banking/Credit/Financial,564
Kurt J. Lesker Company,PA,1/24/2019,Electronic,Business,199
Gettysburg College (third-party service,PA,1/4/2019,Electronic,Education,162
Temple University,PA,1/17/2019,Electronic,Education,160
A.T. Cross Company,RI,1/26/2019,Electronic,Business,Unknown
CVS Pharmacy (reported on 1/30/2019),RI,1/30/2019,Paper Data,Medical/Healthcare,5645
Signet Investment Advisory Group,RI,1/17/2019,Electronic,Banking/Credit/Financial,285
Pure Haven LLC,RI,1/15/2019,Electronic,Business,49
Roper St. Francis Healthcare (reported,SC,1/29/2019,Electronic,Medical/Healthcare,35253
St. Francis Physician Services /,SC,1/1/2019,Electronic,Medical/Healthcare,32178
Palmetto Health,SC,1/29/2019,Electronic,Medical/Healthcare,23811
Auto Truck Kargo Equipment LLC,SC,1/2/2019,Electronic,Business,762
Unum Group / Colonial Life and,SC,1/18/2019,Electronic,Business,532
MetaBank (service provider FSV,SD,1/4/2019,Electronic,Banking/Credit/Financial,Unknown
Regional Health Medical Clinic -,SD,1/1/2019,Paper Data,Medical/Healthcare,696
"Control Consultants, Inc. subsidiary of",TN,1/22/2019,Electronic,Business,Unknown
"Assemblers, Inc.",TN,1/15/2019,Electronic,Business,Unknown
Perceptics,TN,1/23/2019,Electronic,Business,Unknown
Flood Bumstead McCready and,TN,1/13/2019,Electronic,Business,Unknown
City of Knoxville,TN,1/18/2019,Electronic,Government/Military,Unknown
"Data Facts, Inc.",TN,1/18/2019,Electronic,Business,Unknown
National Seating & Mobility (reported,TN,1/15/2019,Electronic,Medical/Healthcare,3800
Alana Healthcare / DME Tennessee,TN,1/12/2019,Electronic,Medical/Healthcare,2691
General Board of Higher Education,TN,1/10/2019,Electronic,Business,922
Keystone Peer Review Organization,TN,1/12/2019,Electronic,Medical/Healthcare,299
Pellissippi State Community College,TN,1/5/2019,Electronic,Education,222
Town of Salem (produced by,TX,1/2/2019,Electronic,Business,Unknown
"Investment Professionals, Inc.",TX,1/25/2019,Electronic,Banking/Credit/Financial,Unknown
Toyota and Lexus Financial Services,TX,1/27/2019,Electronic,Banking/Credit/Financial,Unknown
"First American Payment Systems, L.P.",TX,1/10/2019,Electronic,Business,Unknown
"Maritime Association - ILA Pension,",TX,1/20/2019,Electronic,Business,Unknown
GameSalad,TX,1/17/2019,Electronic,Business,Unknown
Tempo Inc.,TX,1/21/2019,Electronic,Business,Unknown
Resideo Technologies Inc.,TX,1/2/2019,Electronic,Business,Unknown
Pie Five Pizza,TX,1/5/2019,Electronic,Business,Unknown
Liberty Tax Alta Mesa - Fort Worth,TX,1/7/2019,Paper Data,Business,Unknown
All-Star Orthopaedics,TX,1/18/2019,Electronic,Medical/Healthcare,Unknown
New Braunfels Regional Rehabilitation,TX,1/15/2019,Electronic,Medical/Healthcare,Unknown
US Oncology Inc.,TX,1/9/2019,Electronic,Medical/Healthcare,Unknown
Today's Vision,TX,1/21/2019,Paper Data,Medical/Healthcare,Unknown
"Inform Diagnostics, Inc.",TX,1/14/2019,Electronic,Medical/Healthcare,173617
Centerstone Insurance and Financial,TX,1/4/2019,Electronic,Banking/Credit/Financial,111589
Las Colinas Orthopedic Surgery &,TX,1/18/2019,Electronic,Medical/Healthcare,76000
EmCare Inc.,TX,1/19/2019,Electronic,Medical/Healthcare,31236
"Evergreen Alliance Golf Limited, L.P.",TX,1/25/2019,Electronic,Business,14868
"Truluck's Seafood, Steak, & Crab",TX,1/13/2019,Electronic,Business,13422
Rainbow Dental Care PLLC,TX,1/4/2019,Electronic,Medical/Healthcare,10000
Reliant Rehabilitation,TX,1/16/2019,Electronic,Medical/Healthcare,8608
Trustpoint Rehabilitation Hospital of,TX,1/15/2019,Electronic,Medical/Healthcare,7037
Stonehaven Dental,TX,1/22/2019,Electronic,Medical/Healthcare,6289
Questcare Medical Services PLLC,TX,1/12/2019,Electronic,Medical/Healthcare,5573
Metrocare Services (reported on,TX,1/5/2019,Electronic,Medical/Healthcare,5290
American Juice Co. LLC,TX,1/8/2019,Electronic,Business,4843
"American Medical Response, Inc.",TX,1/6/2019,Electronic,Medical/Healthcare,4300
NCH Corporation,TX,1/25/2019,Electronic,Business,4171
"Akin Doherty Klein & Feuge, P.C.",TX,1/14/2019,Electronic,Business,4007
Mid-Cities Home Medical Delivery,TX,1/12/2019,Paper Data,Medical/Healthcare,4000
UMC Physicians (reported on,TX,1/10/2019,Electronic,Medical/Healthcare,3300
"Cerpassrx, LLC",TX,1/31/2019,Electronic,Medical/Healthcare,2513
"Crawford Wellness Center, Inc",TX,1/11/2019,Paper Data,Medical/Healthcare,1500
Weslaco Regional Rehabilitation,TX,1/8/2019,Electronic,Medical/Healthcare,1434
"Premier Specialties, Incorporated",TX,1/14/2019,Paper Data,Medical/Healthcare,1300
Kelsey Research Foundation,TX,1/3/2019,Electronic,Business,1228
AA OBGYN PLLC,TX,1/30/2019,Electronic,Medical/Healthcare,930
Rocket Dollar,TX,1/3/2019,Electronic,Banking/Credit/Financial,921
Sunshine Family Dentistry,TX,1/27/2019,Electronic,Medical/Healthcare,800
Eye Buy Direct Inc,TX,1/18/2019,Electronic,Business,797
Forterra Pipe & Precast LLC,TX,1/2/2019,Electronic,Business,763
City of Georgetown Fire Department,TX,1/31/2019,Electronic,Government/Military,719
Memorial Hermann Health System,TX,1/13/2019,Electronic,Medical/Healthcare,604
Special Health Resources for Texas,TX,1/21/2019,Electronic,Medical/Healthcare,567
Humana (reported on 4/5/2019),TX,1/5/2019,Electronic,Medical/Healthcare,522
Harland Clarke Corp,TX,1/12/2019,Paper Data,Business,230
Herring Bank,TX,1/8/2019,Electronic,Banking/Credit/Financial,95
Inspira Behavioral Care Corp.,US,1/2/2019,Electronic,Medical/Healthcare,4246
Forge Companies,UT,1/27/2019,Electronic,Business,Unknown
Salt Lake Community College,UT,1/13/2019,Electronic,Education,42000
HintonBurdick CPA & Advisors,UT,1/10/2019,Electronic,Business,6579
Bamboo HR LLC,UT,1/28/2019,Electronic,Business,2497
"Myriad Genetic Laboratories, Inc.",UT,1/1/2019,Electronic,Medical/Healthcare,1719
Paradigm Life Insurance,UT,1/26/2019,Electronic,Business,700
Capital One (service provider),VA,1/7/2019,Electronic,Banking/Credit/Financial,Unknown
OnDeck,VA,1/8/2019,Electronic,Banking/Credit/Financial,Unknown
Champion Title and Settlements Inc.,VA,1/26/2019,Electronic,Business,Unknown
Independent Insurance Agent &,VA,1/30/2019,Electronic,Business,Unknown
NetCentrics Corporation,VA,1/9/2019,Electronic,Business,Unknown
NTCA - The Rural Broadband,VA,1/15/2019,Electronic,Business,Unknown
Winebow Group LLC,VA,1/11/2019,Electronic,Business,Unknown
Cvent Inc.,VA,1/24/2019,Electronic,Business,Unknown
Arlington Public Schools - Naviance,VA,1/26/2019,Electronic,Education,Unknown
Hanover County (Click2Gov),VA,1/9/2019,Electronic,Government/Military,Unknown
US Army,VA,1/7/2019,Electronic,Government/Military,Unknown
Dominion National,VA,1/21/2019,Electronic,Medical/Healthcare,2964778
National Wildlife Federation - Ranger,VA,1/24/2019,Electronic,Business,47343
FBI National Academy Associates Inc.,VA,1/13/2019,Electronic,Business,23000
Brattleboro Savings & Loan,VT,1/31/2019,Electronic,Banking/Credit/Financial,Unknown
Howard Center,VT,1/19/2019,Electronic,Business,Unknown
University of Vermont (reported on,VT,1/28/2019,Electronic,Education,Unknown
Department of Vermont Health Access,VT,1/17/2019,Electronic,Government/Military,Unknown
Department of Vermont Health Access,VT,1/7/2019,Electronic,Government/Military,Unknown
Vermont Department for Children &,VT,1/16/2019,Paper Data,Government/Military,Unknown
Vermont Agency of Human Services -,VT,1/7/2019,Paper Data,Government/Military,Unknown
Vermont Psychiatric Care Hospital,VT,1/4/2019,Paper Data,Medical/Healthcare,Unknown
Rutland Regional Medical Center,VT,1/20/2019,Electronic,Medical/Healthcare,72224
Rennline Automotive,VT,1/21/2019,Electronic,Business,2540
Addison County Home Health &,VT,1/25/2019,Electronic,Medical/Healthcare,758
Simon Pearce Inc.,VT,1/7/2019,Electronic,Business,433
"Burke Law, P.C.",VT,1/2/2019,Electronic,Business,89
"Bradley W. Orser, CPA, Inc. P.S.",WA,1/11/2019,Electronic,Business,Unknown
Whitepages,WA,1/11/2019,Electronic,Business,Unknown
Microsoft - email services,WA,1/12/2019,Electronic,Business,Unknown
Archbright (reported on 4/5/2019),WA,1/5/2019,Electronic,Business,Unknown
Seattle University (reported on,WA,1/23/2019,Electronic,Education,Unknown
Housing Authority of Thurston County,WA,1/15/2019,Electronic,Government/Military,Unknown
Washington Department of Health,WA,1/3/2019,Electronic,Government/Military,Unknown
University of Washington Medical,WA,1/19/2019,Electronic,Medical/Healthcare,973024
Columbia Surgical Specialist of,WA,1/18/2019,Electronic,Medical/Healthcare,400000
Darwin's Natural Pet Products,WA,1/7/2019,Electronic,Business,19523
Partington Plastic Surgery,WA,1/22/2019,Electronic,Medical/Healthcare,9000
Area Agency on Aging and Disabilities,WA,1/22/2019,Electronic,Business,7000
Port of Seattle,WA,1/26/2019,Electronic,Government/Military,3357
International Rehabilitation Sciences,WA,1/14/2019,Electronic,Medical/Healthcare,1911
Bloodworks Northwest,WA,1/8/2019,Paper Data,Medical/Healthcare,1893
Service Linen Supply - Personnel and,WA,1/21/2019,Electronic,Business,1210
Chaplaincy Health Care,WA,1/3/2019,Electronic,Medical/Healthcare,1086
Sage Advisors LLC,WA,1/9/2019,Electronic,Banking/Credit/Financial,1026
The Caroline Kline Galland Home dba,WA,1/14/2019,Paper Data,Medical/Healthcare,9
Welders Supply Company (third-party,WI,1/3/2019,Electronic,Business,Unknown
City of Sun Prairie,WI,1/25/2019,Electronic,Government/Military,Unknown
Wisconsin Health Care Liability,WI,1/25/2019,Electronic,Medical/Healthcare,Unknown
"OS, Inc.",WI,1/3/2019,Electronic,Medical/Healthcare,Unknown
Beloit Health System (service provider,WI,1/31/2019,Electronic,Medical/Healthcare,Unknown
EatStreet - customers,WI,1/14/2019,Electronic,Business,Unknown
Western Technical College,WI,1/21/2019,Electronic,Education,28835
Fort Healthcare (service provider OS,WI,1/3/2019,Electronic,Medical/Healthcare,19000
OnCourse Learning Corporation,WI,1/8/2019,Electronic,Business,5600
Kewaskum Police Department,WI,1/15/2019,Electronic,Government/Military,2720
"Lakeland Care, Inc.",WI,1/4/2019,Electronic,Medical/Healthcare,1300
Martinsburg VA Medical Center,WV,1/11/2019,Paper Data,Medical/Healthcare,4882
West Virginia Public Employees,WV,1/27/2019,Electronic,Business,1400
Elkhorn Valley Rehabilitation Hospital,WY,1/15/2019,Electronic,Medical/Healthcare,Unknown
